Macrotema,Tema,Frequência,Tabelas
processos de saude,acesso a saude,3,public.tb_dim_conduta_cuidado; public.tb_dim_procedencia_origem; public.tb_local_atend
processos de saude,acompanhamento de saude,2,public.tb_evolucao_objetivo; public.tb_fat_visita_domiciliar
processos de saude,atividades coletivas de saude,1,public.tb_fat_atvdd_coletiva_ext
processos de saude,atores de saude,1,public.ta_unidade_saude_complexidade
processos de saude,cadastro de saude,1,public.tb_contexto_pergunta
processos de saude,cadastros de saude,1,public.rl_proced_cds_proced
processos de saude,categorias de saude,1,public.tb_ciap_componente
processos de saude,complexidade da saude,2,public.rl_unidade_saude_complexidade; public.tl_unidade_saude_complexidade
processos de saude,complexidade de saude,1,public.ta_unidade_saude_complexidade
processos de saude,comportamento de saude,3,public.tb_cds_ativ_col_participante; public.tb_fat_consolidado_cidadao_fci
processos de saude,condicoes_de_saude,1,public.tb_grupo_condicao_saude
processos de saude,configuracoes de saude,1,public.tl_recurso
processos de saude,cuidados de saude,3,public.tb_ad_tipo_inelegivel; public.tb_cds_tipo_situacao_presente; public.tb_conduta_cuidado_compartilhd
processos de saude,dados de saude,4,public.rl_manifest_alergiaevolucao; public.ta_prof_historico_cns; public.tb_dado_transp; public.tb_fat_procedimento
processos de saude,documentos de saude,1,public.ta_atestado_modelo
processos de saude,educacao em saude,9,public.tb_cds_ativ_col_pratica; public.tb_cds_tipo_ativ_col; public.tb_dim_procedimento; public.tb_dim_tipo_atividade; public.tb_fat_atividade_coletiva; public.tb_pratica_saude; public.tb_tipo_atividade
processos de saude,entidades de saude,1,public.tb_revisao
processos de saude,equipes de saude,15,public.ta_equipe; public.tb_dim_equipe; public.tb_equipe; public.tb_fat_atend_dom_proced; public.tb_fat_proced_atend_proced; public.tb_tipo_equipe; public.tl_equipe
processos de saude,equipes saude,1,public.tb_lotacao
processos de saude,estrategia de saude,1,public.tl_papel
processos de saude,estrutura de saude,2,public.tb_polo_base; public.tb_tipo_unidade_saude
processos de saude,grupos de condicoes de saude,1,public.rl_grupo_condicao_ciap_cid
processos de saude,grupos de saude publica,1,public.tb_proced_grupo
processos de saude,grupos prioritarios saude,1,public.tb_grupo_atendimento
processos de saude,historico de saude,3,public.rl_antecedente_ciap; public.ta_antecedente_ciap; public.tl_antecedente_ciap
processos de saude,idade e saude,1,public.tb_fat_ivcf
processos de saude,indicadores de saude,1,public.ta_medicao
processos de saude,infraestrutura de saude,1,public.tb_polo_base
processos de saude,monitoramento de saude,6,public.tb_ativ_col_registro_particip; public.tb_cds_ficha_proced; public.tb_dim_estrategia_vacinacao; public.tb_dim_tipo_glicemia; public.tb_estrategia_vacinacao; public.tl_cds_ficha_proced
processos de saude,notificacao epidemiologica,1,public.ta_sinan_notificacao_evolucao
processos de saude,notificacoes de doencas,1,public.tb_sinan_notificacao
processos de saude,notificacoes de saude,2,public.tl_sinan_notificacao_evolucao
processos de saude,notificacoes epidemiologicas,1,public.tb_sinan_notificacao_evolucao
processos de saude,observacoes de saude,1,public.rl_arquivo_atendprof
processos de saude,papeis de ator em saude,1,public.tl_unidade_saude_complexidade
processos de saude,papeis de atores em saude,1,public.ta_unidade_saude_complexidade
processos de saude,papeis na saude,1,public.rl_unidade_saude_complexidade
processos de saude,parametros de saude,1,public.tb_config_sistema
processos de saude,participacao em saude,1,public.ta_atividade_coletiva
